a,b,c,d,e,f
3,5,18,23,37,38
1,13,14,21,29,35
5,16,18,19,21,29
13,17,18,34,37,42
1,2,15,21,37,40
1,6,14,16,33,40
6,12,20,21,33,36
1,3,7,11,31,41
4,12,14,25,34,35
10,12,15,27,33,40
7,9,16,19,31,36
2,3,13,27,34,38
5,14,16,23,28,34
5,11,19,29,32,39
2,8,10,14,20,24
2,5,11,17,34,39
2,22,26,34,37,39
6,23,25,30,31,38
14,25,27,29,33,41
7,18,22,24,30,35
22,23,28,29,30,39
6,19,23,24,38,39
3,7,23,33,34,39
5,10,11,15,17,32
3,7,12,15,32,39
3,11,12,25,36,42
2,11,15,17,20,37
1,3,11,32,37,38
7,13,22,32,38,40
9,25,30,33,34,41
2,4,12,13,14,36
1,7,16,28,33,39
3,15,34,35,36,42
10,11,17,24,33,40
5,26,29,31,38,39
2,14,17,18,20,38
8,18,26,30,31,37
14,18,21,22,29,30
7,8,9,15,32,33
22,23,24,33,34,38
4,21,22,26,28,34
3,7,21,27,28,39
4,13,21,34,35,38
1,3,9,25,30,34
3,14,21,23,32,34
11,13,23,28,30,40
3,6,12,15,22,24
4,11,20,25,27,33
1,3,5,13,23,37
3,13,17,19,29,31
2,3,21,28,34,41
1,23,29,34,40,42
12,22,25,37,38,40
7,25,27,33,36,39
8,11,12,13,19,24
8,13,16,34,35,38
23,30,35,38,41,42
3,7,11,22,24,37
15,21,22,31,32,35
13,17,18,27,30,34
6,18,20,30,32,34
8,12,16,25,26,38
21,23,27,36,41,42
4,14,20,24,37,38
3,18,21,29,35,36
14,17,23,27,30,35
2,3,6,11,12,19
8,17,29,35,38,40
4,7,15,16,37,38
8,22,25,31,33,34
1,3,14,15,28,30
12,24,30,35,37,42
1,8,13,14,27,28
4,7,9,19,37,39
7,17,24,30,32,33
4,8,14,21,30,41
3,10,11,17,19,23
5,7,10,22,34,40
1,3,4,10,20,26
3,22,23,24,36,41
5,8,17,25,27,40
13,14,23,29,33,40
10,12,17,28,29,30
7,19,22,25,27,38
4,15,16,18,22,25
6,17,24,28,32,39
9,16,17,31,32,41
9,22,26,29,36,40
2,3,7,9,14,21
15,18,20,22,27,40
15,31,34,35,36,42
4,7,10,17,25,41
6,9,19,23,24,29
6,22,29,32,33,34
5,12,22,25,32,39
7,12,25,30,38,39
17,21,34,35,38,40
1,2,24,25,30,33
1,7,10,24,34,35
7,9,18,20,31,41
1,25,30,34,36,42
3,9,19,34,36,37
6,7,15,25,34,37
4,26,27,31,34,37
4,14,19,20,27,33
4,8,20,25,28,40
4,14,16,22,24,33
8,9,11,27,36,37
8,15,16,23,39,40
8,9,17,26,33,36
8,15,17,29,33,34
3,25,33,34,38,40
19,25,30,32,33,36
1,25,30,32,36,40
10,11,12,21,32,36
6,17,21,22,26,42
5,15,20,28,36,39
9,22,24,27,31,36
3,7,9,19,35,36
4,10,19,24,34,35
12,18,19,23,30,42
11,20,23,34,35,42
1,7,11,15,20,35
4,14,20,22,23,24
2,7,12,15,21,36
3,14,20,27,35,41
5,8,15,16,20,30
7,8,10,16,35,41
1,7,22,27,31,42
2,8,21,29,31,41
3,4,6,13,18,36
1,12,21,26,30,40
3,12,24,34,35,42
